cluster_kmeans_k7,hogares,pct_hogares
0,737,13.688707280832096
1,1027,19.075037147102524
2,877,16.289004457652304
3,815,15.13744427934621
4,593,11.014115898959881
5,809,15.026002971768202
6,526,9.769687964338782
