modelo,configuracion,criterio_seleccion,clusters_generados,ruido_pct
KMeans,K=7,mejor Silhouette dentro de K operativo 3-7 y cluster menor >= 5%,7,0.0
DBSCAN,"eps=0.5, min_samples=100","ruido <= 10%, 2-15 clusters y cluster menor >= 1% cuando fue posible",14,6.853640416047549
