casa,PC1,PC2
MAC000002,1.1675795249508631,0.7041092668674046
MAC000003,-0.7512280148000554,-0.2695080436645405
MAC000004,-1.3547185312854477,-0.39945403530442647
MAC000005,0.3295774082233049,-1.0830028811745347
MAC000006,-1.3547185312854477,-0.39945403530442647
MAC000007,0.044996245362524334,1.253897788253782
MAC000008,-0.7294559060586322,-0.12241384037318223
MAC000009,-1.121157421514428,0.670632548705301
MAC000010,0.3931273735297066,-0.6722023617595598
MAC000011,0.5631385179943246,-0.012916297164807244
MAC000012,-0.793005871365034,-0.533214359788157
MAC000013,0.3295774082233049,-1.0830028811745347
MAC000014,-1.3547185312854477,-0.39945403530442647
MAC000015,-0.5594447615940144,0.5368722242215704
MAC000016,-1.3547185312854477,-0.39945403530442647
MAC000017,0.5631385179943246,-0.012916297164807244
MAC000018,0.5631385179943246,-0.012916297164807244
MAC000019,-0.793005871365034,-0.533214359788157
MAC000020,-0.5594447615940144,0.5368722242215704
MAC000021,-0.7294559060586322,-0.12241384037318223
MAC000022,0.3931273735297066,-0.6722023617595598
MAC000023,-0.5594447615940144,0.5368722242215704
MAC000024,-0.16858528639070697,-0.5384420372758293
MAC000025,-1.3547185312854477,-0.39945403530442647
MAC000026,-1.121157421514428,0.670632548705301
MAC000027,0.044996245362524334,1.253897788253782
MAC000028,-1.3547185312854477,-0.39945403530442647
MAC000029,-0.793005871365034,-0.533214359788157
MAC000030,0.044996245362524334,1.253897788253782
MAC000031,-0.1250148991020935,0.5946117236590296
MAC000032,-0.7512280148000554,-0.2695080436645405
MAC000033,0.5631385179943246,-0.012916297164807244
MAC000034,-0.7512280148000554,-0.2695080436645405
MAC000035,-1.2911685659790457,0.011346484110548297
MAC000036,-1.3547185312854477,-0.39945403530442647
MAC000037,-1.3547185312854477,-0.39945403530442647
MAC000038,0.044996245362524334,1.253897788253782
MAC000039,0.5631385179943246,-0.012916297164807244
MAC000040,-0.7294559060586322,-0.12241384037318223
MAC000041,0.5631385179943246,-0.012916297164807244
MAC000042,0.5631385179943246,-0.012916297164807244
MAC000043,0.3295774082233049,-1.0830028811745347
MAC000044,0.044996245362524334,1.253897788253782
MAC000045,-1.2911685659790457,0.011346484110548297
MAC000046,0.044996245362524334,1.253897788253782
MAC000047,-0.793005871365034,-0.533214359788157
MAC000048,-0.5594447615940144,0.5368722242215704
MAC000049,-0.7294559060586322,-0.12241384037318223
MAC000050,0.9975683804862455,0.04482320227265202
MAC000051,-0.7294559060586322,-0.12241384037318223
MAC000052,1.1675795249508631,0.7041092668674046
MAC000053,0.5631385179943246,-0.012916297164807244
MAC000054,1.1675795249508631,0.7041092668674046
MAC000055,-0.5594447615940144,0.5368722242215704
MAC000056,-0.1885648644084953,0.18381120424405484
MAC000057,-0.5594447615940144,0.5368722242215704
MAC000058,-0.793005871365034,-0.533214359788157
MAC000059,-0.5594447615940144,0.5368722242215704
MAC000060,0.5631385179943246,-0.012916297164807244
MAC000061,0.9340184151798437,-0.36597731714232284
MAC000062,-0.5594447615940144,0.5368722242215704
MAC000063,0.5631385179943246,-0.012916297164807244
MAC000064,0.044996245362524334,1.253897788253782
MAC000065,1.1675795249508631,0.7041092668674046
MAC000066,-0.5594447615940144,0.5368722242215704
MAC000067,0.044996245362524334,1.253897788253782
MAC000068,-0.7294559060586322,-0.12241384037318223
MAC000069,-0.5594447615940144,0.5368722242215704
MAC000070,-0.1885648644084953,0.18381120424405484
MAC000071,0.9975683804862455,0.04482320227265202
MAC000072,0.9340184151798437,-0.36597731714232284
MAC000073,-0.1885648644084953,0.18381120424405484
MAC000074,0.5631385179943246,-0.012916297164807244
MAC000075,0.9340184151798437,-0.36597731714232284
MAC000076,0.9975683804862455,0.04482320227265202
MAC000077,0.3295774082233049,-1.0830028811745347
MAC000078,0.3295774082233049,-1.0830028811745347
MAC000079,0.9975683804862455,0.04482320227265202
MAC000080,0.9340184151798437,-0.36597731714232284
MAC000081,0.044996245362524334,1.253897788253782
MAC000082,-0.793005871365034,-0.533214359788157
MAC000083,-0.1250148991020935,0.5946117236590296
MAC000084,0.044996245362524334,1.253897788253782
MAC000085,0.9975683804862455,0.04482320227265202
MAC000086,-0.7502775243289089,0.3175715287277854
MAC000087,-0.7294559060586322,-0.12241384037318223
MAC000088,0.044996245362524334,1.253897788253782
MAC000089,0.5631385179943246,-0.012916297164807244
MAC000090,-1.2911685659790457,0.011346484110548297
MAC000091,-0.793005871365034,-0.533214359788157
MAC000092,-1.3547185312854477,-0.39945403530442647
MAC000093,1.1675795249508631,0.7041092668674046
MAC000094,0.5631385179943246,-0.012916297164807244
MAC000095,0.5631385179943246,-0.012916297164807244
MAC000096,0.3931273735297066,-0.6722023617595598
MAC000097,-0.7294559060586322,-0.12241384037318223
MAC000098,0.5631385179943246,-0.012916297164807244
MAC000099,0.3295774082233049,-1.0830028811745347
MAC000100,0.044996245362524334,1.253897788253782
MAC000101,-1.121157421514428,0.670632548705301
MAC000102,0.3295774082233049,-1.0830028811745347
MAC000103,0.9975683804862455,0.04482320227265202
MAC000104,1.1675795249508631,0.7041092668674046
MAC000105,-0.7294559060586322,-0.12241384037318223
MAC000106,-1.121157421514428,0.670632548705301
MAC000107,-0.793005871365034,-0.533214359788157
MAC000108,-0.793005871365034,-0.533214359788157
MAC000109,-0.793005871365034,-0.533214359788157
MAC000110,0.9975683804862455,0.04482320227265202
MAC000111,0.5631385179943246,-0.012916297164807244
MAC000112,-1.121157421514428,0.670632548705301
MAC000113,0.3931273735297066,-0.6722023617595598
MAC000114,-0.793005871365034,-0.533214359788157
MAC000115,1.1675795249508631,0.7041092668674046
MAC000116,-0.7294559060586322,-0.12241384037318223
MAC000117,1.1675795249508631,0.7041092668674046
MAC000118,1.1675795249508631,0.7041092668674046
MAC000119,0.5631385179943246,-0.012916297164807244
MAC000120,-0.793005871365034,-0.533214359788157
MAC000121,0.5631385179943246,-0.012916297164807244
MAC000122,-1.3547185312854477,-0.39945403530442647
MAC000123,-0.5594447615940144,0.5368722242215704
MAC000124,0.5631385179943246,-0.012916297164807244
MAC000125,1.1675795249508631,0.7041092668674046
MAC000126,0.3295774082233049,-1.0830028811745347
MAC000127,-0.5594447615940144,0.5368722242215704
MAC000128,-0.1885648644084953,0.18381120424405484
MAC000129,-1.121157421514428,0.670632548705301
MAC000130,-0.793005871365034,-0.533214359788157
MAC000131,0.5631385179943246,-0.012916297164807244
MAC000132,1.1675795249508631,0.7041092668674046
MAC000133,-0.1250148991020935,0.5946117236590296
MAC000134,-0.6867275590225072,0.7283720481427601
MAC000135,0.3295774082233049,-1.0830028811745347
MAC000136,-0.1250148991020935,0.5946117236590296
MAC000137,1.1675795249508631,0.7041092668674046
MAC000138,-1.121157421514428,0.670632548705301
MAC000139,-0.7294559060586322,-0.12241384037318223
MAC000140,0.3295774082233049,-1.0830028811745347
MAC000141,0.3295774082233049,-1.0830028811745347
MAC000142,0.3931273735297066,-0.6722023617595598
MAC000143,0.5631385179943246,-0.012916297164807244
MAC000144,-0.1885648644084953,0.18381120424405484
MAC000145,0.5631385179943246,-0.012916297164807244
MAC000146,-0.793005871365034,-0.533214359788157
MAC000147,0.044996245362524334,1.253897788253782
MAC000148,-1.3547185312854477,-0.39945403530442647
MAC000149,0.3295774082233049,-1.0830028811745347
MAC000150,1.1675795249508631,0.7041092668674046
MAC000151,-0.793005871365034,-0.533214359788157
MAC000152,0.5631385179943246,-0.012916297164807244
MAC000153,-0.7512280148000554,-0.2695080436645405
MAC000154,0.5631385179943246,-0.012916297164807244
MAC000155,1.1675795249508631,0.7041092668674046
MAC000156,0.0014258580739108795,0.12084402731892328
MAC000157,1.1675795249508631,0.7041092668674046
MAC000158,-1.3547185312854477,-0.39945403530442647
MAC000159,0.5631385179943246,-0.012916297164807244
MAC000160,1.1675795249508631,0.7041092668674046
MAC000161,0.5631385179943246,-0.012916297164807244
MAC000162,0.3295774082233049,-1.0830028811745347
MAC000163,-0.5594447615940144,0.5368722242215704
MAC000164,0.3931273735297066,-0.6722023617595598
MAC000165,0.5631385179943246,-0.012916297164807244
MAC000166,0.5631385179943246,-0.012916297164807244
MAC000167,0.044996245362524334,1.253897788253782
MAC000168,-0.23213525169710875,-0.949242556690804
MAC000169,1.1675795249508631,0.7041092668674046
MAC000170,0.5631385179943246,-0.012916297164807244
MAC000171,-0.793005871365034,-0.533214359788157
MAC000172,-0.793005871365034,-0.533214359788157
MAC000173,0.3295774082233049,-1.0830028811745347
MAC000174,0.3931273735297066,-0.6722023617595598
MAC000175,-0.5594447615940144,0.5368722242215704
MAC000176,-0.5594447615940144,0.5368722242215704
MAC000177,0.9340184151798437,-0.36597731714232284
MAC000178,1.1675795249508631,0.7041092668674046
MAC000179,1.1675795249508631,0.7041092668674046
MAC000180,-0.5167164145578893,1.3876581127375127
MAC000181,-0.5594447615940144,0.5368722242215704
MAC000182,-0.1885648644084953,0.18381120424405484
MAC000183,-0.5594447615940144,0.5368722242215704
MAC000184,1.1675795249508631,0.7041092668674046
MAC000185,0.9340184151798437,-0.36597731714232284
MAC000186,0.3295774082233049,-1.0830028811745347
MAC000187,0.5631385179943246,-0.012916297164807244
MAC000188,0.3295774082233049,-1.0830028811745347
MAC000189,-0.16858528639070697,-0.5384420372758293
MAC000190,-0.5594447615940144,0.5368722242215704
MAC000191,-0.6867275590225072,0.7283720481427601
MAC000192,0.6058668650304496,0.8378695913511351
MAC000193,-1.121157421514428,0.670632548705301
MAC000194,0.5631385179943246,-0.012916297164807244
MAC000195,-0.7294559060586322,-0.12241384037318223
MAC000196,0.3295774082233049,-1.0830028811745347
MAC000197,-0.23213528327473987,-0.3897334118318001
MAC000198,0.3931273735297066,-0.6722023617595598
MAC000199,0.3295774082233049,-1.0830028811745347
MAC000200,0.3295774082233049,-1.0830028811745347
MAC000201,-0.5594447615940144,0.5368722242215704
MAC000202,0.9975683804862455,0.04482320227265202
MAC000203,-0.793005871365034,-0.533214359788157
MAC000204,0.3295774082233049,-1.0830028811745347
MAC000205,0.5631385179943246,-0.012916297164807244
MAC000206,0.044996245362524334,1.253897788253782
MAC000207,1.1675795249508631,0.7041092668674046
MAC000208,-0.5594447615940144,0.5368722242215704
MAC000209,-1.3547185312854477,-0.39945403530442647
MAC000210,-1.3547185312854477,-0.39945403530442647
MAC000211,-0.5594447615940144,0.5368722242215704
MAC000212,0.3295774082233049,-1.0830028811745347
MAC000213,-0.5594447615940144,0.5368722242215704
MAC000214,1.1675795249508631,0.7041092668674046
MAC000215,0.3295774082233049,-1.0830028811745347
MAC000216,-0.7294559060586322,-0.12241384037318223
MAC000217,-0.793005871365034,-0.533214359788157
MAC000218,1.1675795249508631,0.7041092668674046
MAC000219,0.3295774082233049,-1.0830028811745347
MAC000220,0.3295774082233049,-1.0830028811745347
MAC000221,0.3931273735297066,-0.6722023617595598
MAC000222,-1.2911685659790457,0.011346484110548297
MAC000223,0.5631385179943246,-0.012916297164807244
MAC000224,-0.6867275590225072,0.7283720481427601
MAC000225,0.5631385179943246,-0.012916297164807244
MAC000226,-0.5594447615940144,0.5368722242215704
MAC000227,0.044996245362524334,1.253897788253782
MAC000228,-0.5594447615940144,0.5368722242215704
MAC000229,-1.121157421514428,0.670632548705301
MAC000230,-0.5594447615940144,0.5368722242215704
MAC000231,-0.793005871365034,-0.533214359788157
MAC000232,0.3295774082233049,-1.0830028811745347
MAC000233,-0.793005871365034,-0.533214359788157
MAC000234,0.5631385179943246,-0.012916297164807244
MAC000235,-0.7294559060586322,-0.12241384037318223
MAC000236,-0.793005871365034,-0.533214359788157
MAC000237,-0.6867275590225072,0.7283720481427601
MAC000238,1.1675795249508631,0.7041092668674046
MAC000239,0.5631385179943246,-0.012916297164807244
MAC000240,-0.5594447615940144,0.5368722242215704
MAC000241,0.5631385179943246,-0.012916297164807244
MAC000242,-0.1885648644084953,0.18381120424405484
MAC000243,0.044996245362524334,1.253897788253782
MAC000244,-0.793005871365034,-0.533214359788157
MAC000245,0.9975683804862455,0.04482320227265202
MAC000246,0.9975683804862455,0.04482320227265202
