casa,cluster_consumo,horario_consumo,semanal,tipo_consumo,cluster_kmeans_final,cluster_dbscan_final
MAC000020,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,4,9
MAC000021,2,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,4
MAC000022,2,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,2,6
MAC000023,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,4,9
MAC000024,2,consumo_noche_variable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,5,-1
MAC000025,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,5,1
MAC000026,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,5,5
MAC000027,0,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,6,3
MAC000028,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,5,1
MAC000029,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,8
MAC000030,0,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,6,3
MAC000031,2,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,6,-1
MAC000032,2,consumo_madrugada_variable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,5,-1
