casa,cluster_kmeans_k7,cluster_consumo,horario_consumo,semanal,tipo_consumo,Acorn_grouped,stdorToU
MAC000056,6,1,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,Adversity,Std
MAC000057,4,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Affluent,Std
MAC000058,0,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Affluent,Std
MAC000059,4,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Comfortable,Std
MAC000060,3,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Comfortable,Std
MAC000061,1,1,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,Adversity,Std
MAC000062,4,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Comfortable,Std
MAC000063,3,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Affluent,Std
MAC000064,6,0,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,Affluent,ToU
MAC000065,1,0,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,Adversity,ToU
MAC000066,4,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Affluent,Std
MAC000067,6,0,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,Adversity,Std
MAC000068,0,2,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Adversity,Std
MAC000069,4,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Comfortable,Std
MAC000070,6,1,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,Comfortable,Std
MAC000071,1,2,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,Comfortable,ToU
MAC000072,1,1,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,Affluent,Std
MAC000073,6,1,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,Affluent,Std
MAC000074,3,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,Comfortable,Std
