LCLid,dias_registrados,fecha_min,fecha_max,consumo_total,consumo_medio_diario,consumo_max_dia,consumo_std_diario
MAC000002,505,2012-10-12,2014-02-28,6095.6720007,12.070637625148516,39.28399999999999,4.494518088381602
MAC000003,740,2012-02-20,2014-02-28,14080.8620026,19.028191895405406,50.75899999999999,11.60612349685102
MAC000004,662,2012-05-08,2014-02-28,1119.8390001,1.6915996980362538,7.353999999999997,0.4313768120144512
MAC000005,638,2012-06-01,2014-02-28,2911.0060003,4.5627053296238245,16.708000200000004,1.4705110408907391
MAC000006,761,2012-01-30,2014-02-28,2167.448,2.8481576872536136,6.636000000000003,0.8821714589561093
MAC000007,523,2012-09-24,2014-02-28,4952.6959994,9.469782025621415,41.85800009999999,3.8752604324240534
MAC000008,544,2012-05-05,2013-10-30,9440.6500001,17.35413602959559,39.0990001,4.969148030416581
MAC000009,527,2012-09-20,2014-02-28,4513.734000500001,8.564960152751425,15.527,1.760566310330831
MAC000010,523,2012-09-24,2014-02-28,13780.230997,26.34843402868069,64.3490004,5.931719772544372
MAC000011,495,2012-10-22,2014-02-28,7446.0260006,15.04247676888889,28.342,4.432020265635416
MAC000012,515,2012-10-02,2014-02-28,1086.3829998,2.109481553009709,14.989999900000004,2.1527245758059466
MAC000013,618,2012-06-21,2014-02-28,3257.6780000000003,5.27132362459547,9.487000000000002,1.25804632133999
MAC000014,502,2012-10-15,2014-02-28,3132.1249991,6.23929282689243,15.193,1.5977177384324235
MAC000015,816,2011-12-06,2014-02-28,8953.7729998,10.972761029166666,35.278999799999994,4.6985454380928235
MAC000016,408,2011-12-06,2013-01-16,533.7360000000001,1.3081764705882355,7.370999999999999,1.857685852220007
MAC000017,816,2011-12-06,2014-02-28,5199.4260006,6.371845588970589,32.5890001,2.356440202690976
MAC000018,815,2011-12-07,2014-02-28,8739.1489997,10.72288220822086,33.9949999,3.642515411309804
MAC000019,815,2011-12-07,2014-02-28,5059.6200005,6.2081227,13.232000000000005,2.1837976837364743
MAC000020,815,2011-12-07,2014-02-28,5342.4630004,6.555169325644171,16.343,2.287135987931123
MAC000021,815,2011-12-07,2014-02-28,18311.9230008,22.468617178895705,46.180999799999995,5.884856328823018
MAC000022,815,2011-12-07,2014-02-28,10206.5789994,12.523409815214725,27.207000000000004,6.863454419018417
MAC000023,815,2011-12-07,2014-02-28,11663.5899996,14.311153373742332,27.73900009999999,5.8265346798680095
MAC000024,815,2011-12-07,2014-02-28,16922.3649942,20.763638029693254,70.52699979999998,12.96645686877583
MAC000025,815,2011-12-07,2014-02-28,3879.1560001999997,4.759700613742331,7.851000000000001,1.123916070303519
MAC000026,815,2011-12-07,2014-02-28,10136.4160011,12.437320246748467,33.821000000000005,5.487298158664148
MAC000027,815,2011-12-07,2014-02-28,7287.8510001,8.942148466380369,17.3719999,2.023642174686333
MAC000028,671,2011-12-07,2013-10-07,3220.0869999,4.798937406706409,10.195999999999998,2.199170307464442
MAC000029,815,2011-12-07,2014-02-28,2763.216001,3.390449080981595,9.991,1.2571393744531203
MAC000030,815,2011-12-07,2014-02-28,9273.8230007,11.378923927239263,45.6249997,6.634725626393863
MAC000031,815,2011-12-07,2014-02-28,16290.866997500001,19.98879386196319,55.88099939999999,8.754606471258874
MAC000032,815,2011-12-07,2014-02-28,10422.7589967,12.788661345644172,32.1369999,7.530541597919175
MAC000033,815,2011-12-07,2014-02-28,6157.7250001,7.555490797668712,20.974999899999997,1.8089173725016934
MAC000034,815,2011-12-07,2014-02-28,22101.9499948,27.118957048834357,73.36000049999998,20.44795100662326
MAC000035,815,2011-12-07,2014-02-28,18464.2949974,22.65557668392638,69.73999959999998,10.437034034500426
MAC000036,815,2011-12-07,2014-02-28,2172.412,2.6655361963190183,4.328000000000002,0.3545649836340594
MAC000037,815,2011-12-07,2014-02-28,65.303,0.08012638036809816,0.992,0.22231884926961917
MAC000038,814,2011-12-08,2014-02-28,9256.5869973,11.37172849791155,36.6520004,4.914941689865634
MAC000039,814,2011-12-08,2014-02-28,7384.8680024000005,9.072319413267813,19.422999899999997,3.2104832369813847
MAC000040,814,2011-12-08,2014-02-28,21677.4500017,26.630773957862406,75.1580009,9.134634564816613
MAC000041,814,2011-12-08,2014-02-28,6851.3090004000005,8.416841523832925,22.628,3.6293942219587767
MAC000042,814,2011-12-08,2014-02-28,7550.8189994,9.276190416953318,17.389999999999993,3.18530468024412
MAC000043,814,2011-12-08,2014-02-28,2876.788,3.534137592137592,25.542,2.2644801451787075
MAC000044,814,2011-12-08,2014-02-28,11552.8829993,14.192730957371007,30.011,4.6345359291073915
MAC000045,814,2011-12-08,2014-02-28,16826.2560026,20.67107617027027,68.91900030000001,8.07581358662387
MAC000046,814,2011-12-08,2014-02-28,10733.299999,13.185872234643735,33.103999900000005,3.7125407676278805
MAC000047,814,2011-12-08,2014-02-28,4317.1050000000005,5.303568796068797,14.544999999999998,1.28269918917041
MAC000048,814,2011-12-08,2014-02-28,5445.0380009,6.689235873341524,31.21999999999999,3.652605159680902
MAC000049,814,2011-12-08,2014-02-28,30087.0959988,36.9620343965602,85.41499960000003,9.123825502928177
MAC000050,497,2011-12-08,2013-04-17,11619.405997,23.37908651307847,47.356000000000016,7.280598219209989
MAC000051,814,2011-12-08,2014-02-28,12577.147001000001,15.451040541769043,43.5139999,5.119504635402133
MAC000052,814,2011-12-08,2014-02-28,5599.7419989,6.879289924938575,28.385000199999997,4.681675750647597
MAC000053,813,2011-12-09,2014-02-28,6713.8699990000005,8.258142680196803,17.586999900000002,2.412488349011619
MAC000054,813,2011-12-09,2014-02-28,7754.0779999,9.53761131599016,14.026999999999996,1.2876742087981565
MAC000055,813,2011-12-09,2014-02-28,10334.2839979,12.711296430381303,32.242000000000004,4.191196867572778
MAC000056,813,2011-12-09,2014-02-28,4958.5150001,6.099034440467405,23.633999900000006,2.1812811263000453
MAC000057,813,2011-12-09,2014-02-28,8711.8419985,10.715672814883149,35.55300010000001,4.789102846892452
MAC000058,813,2011-12-09,2014-02-28,2743.1780000000003,3.3741426814268145,7.096000000000001,0.9256319273008112
MAC000059,813,2011-12-09,2014-02-28,14244.7500008,17.521217713161132,34.391000000000005,2.8280204728065605
MAC000060,813,2011-12-09,2014-02-28,8696.2680007,10.69651660602706,36.363,3.1967187833429285
MAC000061,813,2011-12-09,2014-02-28,4740.039000000001,5.830306273062732,10.064000000000004,1.3336855093516937
MAC000062,813,2011-12-09,2014-02-28,9474.0199998,11.653161131365314,20.722,1.865492343401848
MAC000063,655,2011-12-09,2013-09-23,8368.5210006,12.776367939847328,31.2240001,4.495811466440766
MAC000064,813,2011-12-09,2014-02-28,10803.0669977,13.287905286223863,40.03499990000001,6.319798103637231
MAC000065,577,2011-12-09,2013-07-07,4299.4010007,7.451301561005199,34.44699979999999,4.7232104997356945
MAC000066,813,2011-12-09,2014-02-28,5496.079,6.760244772447724,17.269999999999996,3.04444474430061
MAC000067,813,2011-12-09,2014-02-28,5772.9519998000005,7.100801967773679,15.123999900000005,2.0258090210599407
MAC000068,813,2011-12-09,2014-02-28,15692.739999200001,19.302263221648218,30.452,3.2333992169316863
MAC000069,813,2011-12-09,2014-02-28,6423.8129998,7.901369003444035,40.8549999,4.483989336145299
MAC000070,812,2011-12-10,2014-02-28,3472.566,4.276559113300492,10.028,0.9992438988812963
MAC000071,506,2011-12-10,2013-04-28,9034.072005,17.853897243083004,36.81899980000001,5.978404197665005
MAC000072,812,2011-12-10,2014-02-28,3588.1410002,4.418892857389162,13.922999999999996,2.1979540969216966
MAC000073,812,2011-12-10,2014-02-28,3257.4789999,4.011673645197044,13.9759998,2.379069281421029
MAC000074,812,2011-12-10,2014-02-28,11067.454999200001,13.629870688669952,25.329000100000005,2.854034281573895
MAC000075,812,2011-12-10,2014-02-28,4211.5390003,5.186624384605912,34.79600000000001,3.156202266528983
MAC000076,812,2011-12-10,2014-02-28,15028.8449966,18.508429798768475,38.20000020000001,4.182453821546311
MAC000077,812,2011-12-10,2014-02-28,4742.805,5.840892857142857,8.59,1.0850837181124176
MAC000078,812,2011-12-10,2014-02-28,3972.8400002,4.892660098768473,24.18700009999999,3.3924621339701235
MAC000079,809,2011-12-10,2014-02-28,14133.8369996,17.47075030852905,69.1910001,10.605335432510955
MAC000080,537,2011-12-10,2013-05-29,2017.1600001,3.7563500932960894,8.680000000000001,1.549103772036387
MAC000081,812,2011-12-10,2014-02-28,10282.4950004,12.66317118275862,27.729999900000003,3.7889297458864015
MAC000082,812,2011-12-10,2014-02-28,3215.9940007,3.9605837447044334,19.19400000000001,2.1341123126684556
MAC000083,812,2011-12-10,2014-02-28,11735.4559998,14.452532019458129,43.79199999999999,7.88681511091098
MAC000084,812,2011-12-10,2014-02-28,10933.4799994,13.464876846551725,27.16299990000001,2.3683584429368087
MAC000085,812,2011-12-10,2014-02-28,22338.717004000002,27.51073522660099,62.30599949999999,9.292470290253528
MAC000086,812,2011-12-10,2014-02-28,4946.9039992,6.092246304433497,16.985999800000002,2.2772869569365173
MAC000087,810,2011-12-12,2014-02-28,12794.9560003,15.796241975679013,39.746,4.046217009792125
MAC000088,810,2011-12-12,2014-02-28,12881.9450001,15.903635802592593,36.7710001,3.622623026040217
MAC000089,810,2011-12-12,2014-02-28,5794.0290002,7.153122222469136,28.2870001,3.7922239461113083
MAC000090,810,2011-12-12,2014-02-28,13152.8029979,16.238028392469136,38.98599970000001,6.929415335516803
MAC000091,810,2011-12-12,2014-02-28,5099.0759995,6.295155554938272,19.515999899999997,2.090434967646483
MAC000092,810,2011-12-12,2014-02-28,4108.7249991,5.072499998888889,20.206000000000003,2.607873686919468
MAC000093,810,2011-12-12,2014-02-28,9287.3960001,11.465920987777777,28.661000099999995,3.5139227625536757
MAC000094,809,2011-12-12,2014-02-28,8067.0539998,9.9716365881335,35.798,4.762684965794609
MAC000095,659,2011-12-12,2013-09-30,4989.294,7.571007587253414,22.75400010000001,2.9602489312306286
MAC000096,810,2011-12-12,2014-02-28,23327.7029979,28.79963333074074,69.03800000000001,9.094142771544576
MAC000097,810,2011-12-12,2014-02-28,15810.3069999,19.51889753074074,73.5249997,6.724548840153418
MAC000098,810,2011-12-12,2014-02-28,9162.1970011,11.311354322345679,28.976,2.921049032311293
MAC000099,810,2011-12-12,2014-02-28,3548.9400001000004,4.381407407530864,7.782000000000001,0.7340079955277948
MAC000100,810,2011-12-12,2014-02-28,9723.7889994,12.004677777037037,49.62799980000002,4.287714188209011
MAC000101,810,2011-12-12,2014-02-28,9096.7280005,11.230528395679011,26.53800039999999,3.6055888593889978
MAC000102,800,2011-12-22,2014-02-28,2625.0219997,3.281277499625,8.201000000000002,1.013478108543338
MAC000103,712,2011-12-13,2013-11-23,17121.392,24.046898876404494,51.38500000000001,8.19169724025838
MAC000104,809,2011-12-13,2014-02-28,6379.3490015,7.885474661928306,34.409999799999994,4.082031937405092
MAC000105,793,2011-12-13,2014-02-12,40426.1939958,50.978807056494325,132.98300040000004,19.564746584211285
MAC000106,809,2011-12-13,2014-02-28,10617.9599996,13.124796044004944,30.775999899999995,3.5310610009610652
MAC000107,809,2011-12-13,2014-02-28,5370.4109994,6.638332508529048,17.007000000000005,1.8185732525995613
MAC000108,809,2011-12-13,2014-02-28,2788.8900000000003,3.4473300370828186,5.526,0.6361177763171356
MAC000109,809,2011-12-13,2014-02-28,5330.500000200001,6.588998764153277,16.7460001,1.6437017535971719
MAC000110,809,2011-12-13,2014-02-28,13246.5969988,16.374038317428923,36.127,4.927200004406907
MAC000111,807,2011-12-15,2014-02-28,8267.2559999,10.244431226641884,22.5459999,2.8245927492989646
MAC000112,808,2011-12-14,2014-02-28,10376.8099999,12.842586633539606,29.310999699999996,4.589108044715505
MAC000113,808,2011-12-14,2014-02-28,19922.836999400002,24.656976484405945,52.7289998,8.470674154619225
