K,Inertia_PCA,Silhouette_PCA,Davies_Bouldin_PCA,Calinski_Harabasz_PCA
2,28543.897721204914,0.5496806100206083,0.8807833129892298,4276.931709668556
3,20735.508894893224,0.4108411830392887,0.9570462735107935,3956.2088367015685
4,17388.794877908673,0.3523216016309656,1.0209923947460922,3489.5982964994137
5,15018.451148691389,0.3668076292145266,0.9698796907036865,3241.8824816679135
6,13098.479564818406,0.33702814958582133,0.9861956656004155,3130.747893925652
7,11357.912333613396,0.32456712719557446,0.9544329502601633,3145.5816061707756
8,10445.085901869412,0.3029429932739011,0.9908782254721153,2998.400433349972
9,9655.739735946507,0.2943721086733624,1.0346446335216202,2892.431191535289
10,8901.739308683733,0.288229716929538,1.0228538979002262,2838.8850303016216
