K,Inertia,Silhouette,Davies_Bouldin,Calinski_Harabasz
2,31139.33796946884,0.5380764065023772,0.9283527832354038,3921.0355886821285
3,23267.391602328862,0.39254591231383695,1.0169803417499559,3533.4190543917553
4,19916.493541058262,0.3492795609601247,1.0739640490910476,3053.0944384149793
5,17472.66463352742,0.3460121619567185,1.0529787417228023,2797.6521283665174
6,15538.079243277958,0.31397112348916156,1.0644902933557145,2650.207334963471
7,13762.636349333547,0.2956972928358394,1.0574878016738871,2608.5407557092576
8,12820.759961034946,0.28412200594858633,1.1006985265308329,2456.114034792294
9,12089.596479196998,0.2716515780098702,1.1256104615546947,2319.287117926272
10,11285.510402735446,0.2550310369004858,1.1473301717791335,2250.5972463019343
