LCLid,consumo_total,consumo_medio,consumo_std,consumo_max,consumo_invierno,consumo_verano,consumo_finde,consumo_semana,ratio_invierno_verano,dias_registrados,stdorToU,Acorn_grouped,tarifa_enc,acorn_enc
MAC000002,6022.602000700001,12.093578314658636,4.517377692680869,39.28399999999999,13.203777782222222,9.141010867391305,12.86373239577465,11.786382023876403,1.4444547249002058,498,Std,Affluent,0,3
MAC000003,13949.9560029,19.031317875716237,11.641835814872667,50.75899999999999,27.928125692349727,12.229173913043478,18.79166345769231,19.126266673714287,2.2837293514022727,733,Std,Adversity,0,2
MAC000004,1109.9650001,1.6946030535877863,0.43167071319848793,7.353999999999997,1.8376333338888886,1.5225434782608698,1.738516129032258,1.6771876334754796,1.2069488675877174,655,Std,Affluent,0,3
MAC000005,2878.6180003,4.56199366133122,1.4733691586321227,16.708000200000004,5.537316666111111,3.676062147457628,4.577333333888888,4.555871397339246,1.5063170691016907,631,ToU,Affluent,1,3
MAC000006,2143.429,2.842744031830239,0.8829450460326531,6.636000000000003,2.985642156862746,2.462320652173913,2.7272897196261687,2.888498148148148,1.2125313336812873,754,Std,Adversity,0,2
MAC000007,4905.2049995,9.506211239341084,3.86574616061464,41.85800009999999,10.507961111666665,8.219358689130438,10.774465750684934,9.005764864594594,1.2784403541267033,516,Std,Comfortable,0,4
MAC000008,9307.8070005,17.3329739301676,4.97843656510937,39.0990001,21.659055552222224,15.545489134782606,17.155733768181815,17.40424020939948,1.3932693896708142,537,Std,Comfortable,0,4
MAC000009,4459.5740005,8.576103847115384,1.7652275021979458,15.527,9.53329444388889,7.163684782608697,8.759344593243243,8.503201614784945,1.3307806530309996,520,Std,Adversity,0,2
MAC000010,13609.9929968,26.375955420155037,5.93710655179354,64.3490004,30.291027763333336,22.580793488043483,27.420945200684933,25.963608101351348,1.3414509298763786,516,Std,Comfortable,0,4
MAC000011,7294.6809999,14.94811680307377,4.3792906944609005,28.342,16.522311106666667,11.577945656521738,15.30510869347826,14.80736000057143,1.427050201285892,488,Std,Adversity,0,2
