modelo,configuracion,K,Inertia,n_clusters,ruido_pct,cluster_mayor_pct_sin_ruido,cluster_menor_pct_sin_ruido,Silhouette,Davies_Bouldin,Calinski_Harabasz
KMeans_PCA,K=2,2,24560.099895901538,2,0.0,52.99034175334324,47.00965824665676,0.4023991800971404,0.9181013431572235,4805.593717024139
KMeans_PCA,K=3,3,18366.8599051168,3,0.0,46.786775631500745,18.833580980683507,0.337545236056098,1.0388531384974582,4119.675467291691
KMeans_PCA,K=4,4,15356.802233218343,4,0.0,38.46582466567608,9.305349182763745,0.2995494854821735,1.1201062705587295,3635.6799407911826
KMeans_PCA,K=5,5,13204.7302988562,5,0.0,34.713967310549776,4.75482912332838,0.29321249030900415,1.0511549023335587,3389.696099470675
KMeans_PCA,K=6,6,11749.218410391315,6,0.0,29.36478454680535,4.75482912332838,0.2969393506576715,1.05321648314979,3180.3800400813193
KMeans_PCA,K=7,7,10573.276635013746,7,0.0,24.795690936106986,4.439078751857355,0.2841390337141324,1.0368202021478015,3044.2276651422094
KMeans_PCA,K=8,8,9723.710624646541,8,0.0,23.99702823179792,4.38335809806835,0.28459817798834025,1.0342192680423103,2903.8738277363773
KMeans_PCA,K=9,9,9068.530203155873,9,0.0,23.08692421991085,2.916047548291233,0.29082962850941046,1.0194417803805105,2772.4865841840324
KMeans_PCA,K=10,10,8434.753477891132,10,0.0,20.672362555720653,2.8417533432392275,0.27359110512646595,1.0517723269162016,2693.980091554224
