LCLid,consumo_medio,consumo_std,consumo_max,consumo_invierno,consumo_verano,consumo_finde,consumo_semana,ratio_invierno_verano,dias_registrados,stdorToU,Acorn_grouped,cluster,PC1,PC2
MAC005408,6.958739310482759,2.2973144591116657,19.224,7.039872221666665,6.9508478260869575,5.923315533495146,7.369716763391136,1.0128075574375317,725,Std,Affluent,0,-0.8872279100565527,-0.4325578820338162
MAC005409,9.054104827448276,1.7052428809260756,14.228999900000002,9.751566665,8.425163045652173,9.22656310631068,8.985653179190752,1.1574334472492938,725,Std,Adversity,0,-0.3098275157662254,-0.6978970598392698
MAC005410,6.439037241241379,2.6079245596599896,28.585999800000003,6.866838888333334,6.40301086902174,7.2821116495145635,6.104406551252408,1.0724388817012231,725,Std,Comfortable,0,-0.7068829721086048,-0.18568519979530532
MAC005411,20.88041241475862,9.395583884774242,57.63600010000001,22.11833888555556,18.81172282554348,19.5840728184466,21.39495183063584,1.175774165657386,725,Std,Affluent,2,3.764531329675333,-0.768575949469191
MAC005412,24.999430341655177,9.32552832166103,67.5580002,29.568450004444447,18.727467391847828,27.42289321165048,24.03751637013488,1.578881319448162,725,Std,Affluent,2,4.506223370472132,-0.38317306691799446
MAC005413,26.83534620772414,15.891683688394222,69.2019998,39.54802777444445,12.111831523369563,27.998179607281557,26.373797690751445,3.2652389882486603,725,ToU,Affluent,2,5.204235196091864,2.107115925263855
MAC005414,3.859728275862069,0.9532246416771216,8.119000000000002,4.338894444444445,3.550293478260869,3.654650485436893,3.9411271676300577,1.222122410130293,725,Std,Adversity,1,-3.1773716535549474,0.10558604121737866
MAC005415,3.305433701657458,0.8059988518139599,5.569000000000003,3.490400000000001,3.157782608695653,3.3353932038834953,3.2935193050193052,1.105332230615301,724,Std,Affluent,1,-3.8206393011822297,-0.0019853101987644876
MAC005416,6.177303866712707,2.960393102895303,20.071000000000005,5.922183332777778,5.837695651086958,6.632985436407767,5.996086871814673,1.0144726056766051,724,Std,Affluent,0,-1.0676555942242107,-0.18835675853123
MAC005417,8.580373353879942,2.736328341416602,19.3189999,9.470633092805755,8.404396741304348,8.976794869743589,8.421967215368854,1.1268663602462885,683,Std,Affluent,0,-0.05447104901726113,-0.5392476979712724
MAC005418,7.130893646132597,3.2085566473663314,16.319000000000003,8.583199999444444,3.922972826086956,7.062291262135922,7.158175675289574,2.187932007694764,724,Std,Affluent,0,-0.6823028129560706,1.368199394490851
MAC005419,3.0286809390883977,1.1405309106451549,8.847999900000001,3.2947499994444436,2.685461956521739,3.181067960679611,2.9680791505791504,1.226883428588367,724,Std,Affluent,1,-3.695054553694409,0.4266736932135203
MAC005420,4.34184392237569,1.6392002915464852,28.62,5.038938886111111,4.091385869565218,4.423067960679611,4.309542470849421,1.2315967780007533,724,Std,Affluent,1,-1.975584666949006,0.33734963934146955
MAC005421,24.038164362845308,7.179489213394663,46.11600000000001,27.167427773333333,20.646804345652175,24.52813106747573,23.84331273899614,1.3158174990521851,724,Std,Affluent,2,4.008450032747798,-0.9184641941394726
MAC005422,17.898709945580112,7.863614782551668,37.76199999999999,26.565577792777777,10.92073912445652,18.32968443446602,17.727318546525098,2.432580346206145,724,Std,Adversity,2,3.2153124158195805,1.010436429098301
MAC005423,32.411312596957124,13.253041392539462,84.16400010000002,39.518644459444445,25.03447282880435,30.618282939512195,33.12090927606178,1.5785690056714827,723,Std,Affluent,2,5.6302876131590125,-0.5234934385802953
MAC005424,16.006413840795286,5.008144305782964,32.40100020000001,17.904488881111114,14.585989127717392,18.437948442783505,15.0338,1.2275127519171745,679,Std,ACORN-U,2,2.4197762781879346,-0.8266973343105366
MAC005425,9.608720176730486,3.0015629587502013,25.636000000000006,10.427455555555555,7.838173914130436,9.470556698453608,9.663985568041236,1.3303422888352796,679,Std,Comfortable,0,0.37885354940639326,-0.2244739143924917
MAC005426,4.374574374226804,1.2628559586461905,8.521,4.568194444444444,4.274211956521739,5.0458711340206195,4.106055670309279,1.0687802622174305,679,Std,Affluent,1,-2.6987841875184126,-0.23614713162593753
MAC005427,10.55777347347243,3.2323966486965485,21.391000100000003,11.541377907558138,10.15151086847826,13.052078129166668,9.557968684551147,1.1369122212618978,671,ToU,Affluent,0,0.7344324007657126,-0.7178647632056357
MAC005428,12.20104458678344,6.372106993737387,45.12300020000001,11.17174417984496,11.03975000706522,11.391222227222222,12.526419641964283,1.011956172987531,628,Std,Affluent,0,1.6655793343623473,-0.6094338670311608
MAC005429,8.88274041283186,3.6005649838909486,19.3219999,11.614050001111112,6.337786885245902,9.509494843298969,8.631520661776861,1.8325084732084709,678,ToU,Comfortable,0,0.24613389903874208,0.555632970096245
MAC005430,10.86213991222386,4.863650798869787,35.7849999,15.989844445555557,7.566978260326087,10.611639172164953,10.962340208247422,2.113108004589205,679,Std,Comfortable,0,1.4030093091000195,0.9045102477236567
MAC005431,6.425488955522828,1.6865180701301363,13.052,7.261588892777779,5.720934784782609,7.170432993814433,6.127511340206185,1.269300891664127,679,Std,Comfortable,1,-1.290557001547805,-0.21033850818828814
MAC005432,7.1968321055964655,4.395833663985175,20.99300000000001,9.77651111,3.4317934777173913,7.85512371185567,6.933515463092783,2.848804371438556,679,ToU,Adversity,0,-0.19636190508268153,2.320743230431399
MAC005433,4.348885123122239,1.5220570626691383,9.307999899999997,4.253994442222222,4.441869563043478,3.905706184020619,4.526156698762888,0.9577033778551785,679,Std,Affluent,1,-2.714663317834083,-0.2941866557201032
MAC005434,20.338777614874815,5.914370904929979,37.1170001,23.99052777555556,15.368201095652177,19.83378865515464,20.540773198762885,1.5610497328339228,679,ToU,Adversity,2,3.2524945091046646,-0.4886989400087556
MAC005435,9.149967598969072,2.3074330336741147,15.572000000000005,10.345327776666666,8.09636956521739,9.643999999484535,8.952354638762888,1.2777735027483752,679,Std,Adversity,0,-0.06335938564568094,-0.4724651622087813
MAC005436,6.268023563917526,2.113835140597824,16.809999800000003,7.13687222388889,6.070347826630435,6.961871134536083,5.990484535670104,1.175693922658884,679,Std,Adversity,0,-1.1090187903509288,-0.22897762611976902
MAC005437,3.2227311669128507,1.7707334818420697,10.522000000000002,4.906705555555555,1.7247608695652177,3.4197239583333334,3.1447463917525775,2.8448597120206807,677,Std,Affluent,1,-3.0029035744471884,2.6213454445853355
