casa,cluster_consumo,horario_consumo,semanal,tipo_consumo
MAC000068,2,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000069,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000070,1,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000071,2,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000072,1,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000073,1,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000074,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000075,1,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000076,2,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000077,1,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000078,1,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000079,2,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000080,1,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000081,0,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000082,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000083,2,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000084,0,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000085,2,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000086,1,consumo_tarde_estable,consumo_fin_semana_variable,picos_moderados_variabilidad_media
MAC000087,2,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000088,0,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000089,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000090,2,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000091,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000092,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000093,0,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000094,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000095,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000096,2,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000097,2,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000098,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000099,1,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000100,0,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000101,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000102,1,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000103,2,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000104,0,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000105,2,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000106,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000107,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000108,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000109,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000110,2,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000111,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000112,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000113,2,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
