casa,horario_consumo,semanal,tipo_consumo,cluster_horario,cluster_semanal,cluster_tipo_consumo,stdorToU,Acorn_grouped
MAC000663,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Affluent
MAC000664,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,1,0,Std,Adversity
MAC000665,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,ToU,Affluent
MAC000666,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,ToU,Affluent
MAC000667,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Adversity
MAC000668,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Comfortable
MAC000669,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Affluent
MAC000670,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Adversity
MAC000671,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Comfortable
MAC000672,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,ToU,Affluent
MAC000673,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,ToU,Affluent
MAC000674,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Adversity
MAC000675,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,Std,Comfortable
MAC000676,consumo_tarde_estable,consumo_fin_semana_variable,picos_moderados_variabilidad_media,1,1,1,Std,Comfortable
MAC000677,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Affluent
MAC000678,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,1,0,1,Std,Comfortable
MAC000679,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Affluent
MAC000680,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,ToU,Adversity
MAC000681,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,ToU,Affluent
MAC000682,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Comfortable
MAC000683,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,ToU,Adversity
MAC000684,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Adversity
MAC000685,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,1,0,1,Std,Comfortable
MAC000686,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Affluent
MAC000687,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,ToU,Adversity
MAC000688,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,ToU,Comfortable
MAC000689,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Affluent
MAC000690,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Adversity
MAC000691,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Comfortable
MAC000692,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Affluent
MAC000693,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Affluent
MAC000694,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Adversity
MAC000695,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Adversity
MAC000696,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Adversity
MAC000697,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Affluent
MAC000698,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Comfortable
MAC000699,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Comfortable
MAC000700,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,1,0,1,Std,Affluent
MAC000701,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Affluent
MAC000702,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,1,0,1,Std,Adversity
MAC000703,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Adversity
MAC000704,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,ToU,Adversity
MAC000705,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Adversity
MAC000706,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,Std,Affluent
MAC000707,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,1,0,1,Std,Adversity
MAC000708,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,ToU,Adversity
MAC000709,consumo_noche_variable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,0,0,1,ToU,Affluent
MAC000710,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,ToU,Comfortable
MAC000711,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Adversity
MAC000712,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,1,0,1,Std,Adversity
MAC000713,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,1,0,Std,Affluent
MAC000714,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Adversity
MAC000715,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,Std,Affluent
MAC000716,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,ToU,Affluent
MAC000717,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,Std,Adversity
MAC000718,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Adversity
MAC000719,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,ToU,Affluent
MAC000720,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Adversity
MAC000721,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,Std,Comfortable
MAC000722,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,ToU,Affluent
MAC000723,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,Std,Comfortable
MAC000724,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Adversity
MAC000725,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,ToU,Comfortable
MAC000726,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Comfortable
MAC000727,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Affluent
MAC000728,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,ToU,Comfortable
MAC000729,consumo_noche_variable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,0,0,1,Std,Affluent
MAC000730,consumo_tarde_estable,consumo_fin_semana_variable,picos_moderados_variabilidad_media,1,1,1,Std,Affluent
MAC000731,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,Std,Adversity
MAC000732,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Affluent
MAC000733,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,Std,Affluent
MAC000734,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Adversity
MAC000735,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Adversity
MAC000736,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Comfortable
MAC000737,consumo_noche_variable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,0,0,1,Std,Affluent
MAC000738,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,ToU,Affluent
MAC000739,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,ToU,Adversity
MAC000740,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,Std,Adversity
MAC000741,consumo_noche_variable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,0,0,1,Std,Affluent
MAC000742,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,Std,Affluent
MAC000743,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Adversity
MAC000744,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,1,0,1,Std,Affluent
MAC000745,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,1,0,1,Std,Affluent
MAC000746,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Adversity
MAC000747,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Affluent
MAC000748,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Adversity
MAC000749,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,1,0,1,Std,Affluent
MAC000750,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Adversity
MAC000751,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,ToU,Adversity
MAC000752,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Adversity
MAC000753,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Affluent
MAC000754,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,1,0,1,ToU,Comfortable
MAC000755,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,ToU,Affluent
MAC000756,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Affluent
MAC000757,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,1,0,Std,Adversity
MAC000758,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Adversity
MAC000759,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,1,0,1,ToU,Adversity
MAC000760,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Adversity
MAC000761,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,1,0,1,Std,Adversity
MAC000762,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Affluent
MAC000763,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Adversity
MAC000764,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Affluent
MAC000765,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Affluent
MAC000766,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,ToU,Affluent
MAC000767,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Affluent
MAC000768,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,Std,Affluent
MAC000769,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,1,0,Std,Comfortable
MAC000770,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Affluent
MAC000771,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Adversity
MAC000772,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,ToU,Affluent
MAC000773,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,Std,Comfortable
MAC000774,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Affluent
MAC000775,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,ToU,Affluent
MAC000776,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Affluent
MAC000777,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Affluent
MAC000778,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Affluent
MAC000779,consumo_tarde_estable,consumo_fin_semana_variable,picos_moderados_variabilidad_media,1,1,1,Std,Adversity
MAC000780,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Affluent
MAC000781,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Adversity
MAC000782,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Affluent
MAC000783,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,Std,Comfortable
MAC000784,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,Std,Comfortable
MAC000785,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,ToU,Affluent
MAC000786,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,Std,Adversity
MAC000787,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Comfortable
MAC000788,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,1,0,Std,Comfortable
MAC000789,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,ToU,Comfortable
MAC000790,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Adversity
MAC000791,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,ToU,Affluent
MAC000792,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,Std,Adversity
MAC000793,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Comfortable
MAC000794,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Comfortable
MAC000795,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,Std,Comfortable
MAC000796,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,Std,Adversity
MAC000797,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,ToU,Affluent
MAC000798,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Affluent
MAC000799,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Comfortable
MAC000800,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Comfortable
MAC000801,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,1,0,ToU,Adversity
MAC000802,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Adversity
MAC000803,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,ToU,Affluent
MAC000804,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,Std,Affluent
MAC000805,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,1,0,ToU,Comfortable
MAC000806,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,1,0,Std,Adversity
MAC000807,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,1,0,Std,Comfortable
MAC000808,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Affluent
MAC000809,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Comfortable
MAC000810,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,1,0,ToU,Adversity
MAC000811,consumo_tarde_estable,consumo_fin_semana_variable,picos_moderados_variabilidad_media,1,1,1,Std,Adversity
MAC000812,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Affluent
MAC000813,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Comfortable
MAC000814,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,ToU,Affluent
MAC000815,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Affluent
MAC000816,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Affluent
MAC000817,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,ToU,Affluent
MAC000818,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,1,0,Std,Adversity
MAC000819,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,ToU,Affluent
MAC000820,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Adversity
MAC000821,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,ToU,Comfortable
MAC000822,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,ToU,Affluent
MAC000823,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Affluent
MAC000824,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Comfortable
MAC000825,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,Std,Affluent
MAC000826,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,1,0,1,Std,Comfortable
MAC000827,consumo_tarde_estable,consumo_fin_semana_variable,picos_moderados_variabilidad_media,1,1,1,Std,Adversity
MAC000828,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,1,0,ToU,Affluent
MAC000829,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,1,0,1,Std,Adversity
MAC000830,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,1,0,ToU,Affluent
MAC000831,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Affluent
MAC000832,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,Std,Adversity
MAC000833,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,Std,Comfortable
MAC000834,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,ToU,Comfortable
MAC000835,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Comfortable
MAC000836,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Adversity
MAC000837,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Affluent
MAC000838,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Adversity
MAC000839,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,1,0,Std,Adversity
MAC000840,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Affluent
MAC000841,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,ToU,Comfortable
MAC000842,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,1,0,1,Std,Adversity
MAC000843,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,1,0,Std,Adversity
MAC000844,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Comfortable
MAC000845,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,1,0,ToU,Comfortable
MAC000846,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,1,0,Std,Comfortable
MAC000847,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,ToU,Adversity
MAC000848,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,1,0,1,Std,Affluent
MAC000849,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,1,0,Std,Affluent
MAC000850,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Affluent
MAC000851,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,ToU,Affluent
MAC000852,consumo_noche_variable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,0,0,1,Std,Adversity
MAC000853,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,1,0,Std,Adversity
MAC000854,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Comfortable
MAC000855,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Affluent
MAC000856,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,1,0,1,Std,Comfortable
MAC000857,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,ToU,Affluent
MAC000858,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,1,0,1,Std,Adversity
MAC000859,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,1,0,1,ToU,Comfortable
MAC000860,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Adversity
MAC000861,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Affluent
MAC000862,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,1,0,Std,Comfortable
MAC000863,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Affluent
MAC000864,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Affluent
MAC000865,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Adversity
MAC000866,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Affluent
MAC000867,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,Std,Adversity
MAC000868,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,ToU,Affluent
MAC000869,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,Std,Adversity
MAC000870,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Adversity
MAC000871,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,Std,Affluent
MAC000872,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Adversity
MAC000873,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Adversity
MAC000874,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,1,0,1,Std,Comfortable
MAC000875,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Affluent
MAC000876,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,Std,Comfortable
MAC000877,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,ToU,Affluent
MAC000878,consumo_tarde_estable,consumo_fin_semana_variable,picos_moderados_variabilidad_media,1,1,1,ToU,Affluent
MAC000879,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,1,0,ToU,Adversity
MAC000880,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,1,0,1,Std,Comfortable
MAC000881,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Adversity
MAC000882,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,1,0,Std,Comfortable
MAC000883,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,Std,Affluent
MAC000884,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,ToU,Affluent
MAC000885,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,1,0,1,Std,Comfortable
MAC000886,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Affluent
MAC000887,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,ToU,Comfortable
MAC000888,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Affluent
MAC000889,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,1,0,1,Std,Adversity
MAC000890,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,1,0,0,Std,Adversity
MAC000891,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Adversity
MAC000892,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Affluent
MAC000893,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,0,0,Std,Adversity
MAC000894,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,0,1,0,Std,Adversity
