K,Inertia,Silhouette,Davies_Bouldin,Calinski_Harabasz,Cluster_mayor_%,Cluster_menor_%
2,13058.493640452878,0.9757803049433528,0.03926234451408475,3907.863628947109,99.96402877697842,0.03597122302158273
3,7858.28041876974,0.4453371851359566,0.5652476412692241,5085.091887626747,69.37050359712231,0.03597122302158273
4,5721.5856072319975,0.4426998493278106,0.6505998791190791,5346.846184071284,67.84172661870504,0.03597122302158273
5,4447.5326455316845,0.39234472243073837,0.6617325143859862,5555.730370340312,51.312949640287776,0.03597122302158273
6,3661.538197891994,0.3821185462099505,0.72137199207289,5636.197812461224,49.802158273381295,0.03597122302158273
7,3150.8493194626963,0.40095838878412066,0.6980329690504915,5607.148119974959,45.95323741007194,0.03597122302158273
8,2690.9499723300414,0.37939317149479296,0.696129540503427,5762.014749113647,35.97122302158273,0.03597122302158273
