K,Inertia,Silhouette,Davies_Bouldin,Calinski_Harabasz,Cluster_mayor_%,Cluster_menor_%
2,13233.097806446674,0.9750257400228217,0.03953613281020566,3782.9662505314395,99.96402877697842,0.03597122302158273
3,8566.85078101258,0.5683095847386708,0.6589283230594739,4434.63557857114,82.87769784172662,0.03597122302158273
4,6209.4621643001665,0.5507961908892596,0.5980911777696278,4781.1799615115315,81.96043165467626,0.03597122302158273
5,5085.196946090965,0.3646479598928513,0.7714739646728636,4684.926092136724,60.48561151079137,0.03597122302158273
6,4429.684584526431,0.372565541634674,0.7560814390025689,4466.178702390976,55.827338129496404,0.03597122302158273
7,3924.090910062333,0.3726272818663092,0.7902777536097266,4319.854803528496,54.910071942446045,0.03597122302158273
8,3528.138264342256,0.33648387755923675,0.8356727819477023,4206.538754978691,48.92086330935252,0.03597122302158273
