enfoque,modelo,K,Inertia,Silhouette,Davies_Bouldin,Calinski_Harabasz,Cluster_mayor_%,Cluster_menor_%
horario,KMeans,3,18731.915232745105,0.2439241540316865,1.2320853035802684,1345.0665995847244,51.510791366906474,1.3489208633093526
semanal,KMeans,3,7858.280418769739,0.4453371851359566,0.5652476412692241,5085.091887626747,69.37050359712231,0.03597122302158273
tipo_consumo,KMeans,3,8566.85078101258,0.5683095847386708,0.6589283230594739,4434.63557857114,82.87769784172662,0.03597122302158273
