casa,horario_consumo,semanal,tipo_consumo
MAC000071,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000072,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000073,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000074,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000075,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000076,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000077,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000078,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000079,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000080,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000081,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000082,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000083,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000084,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000085,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000086,consumo_tarde_estable,consumo_fin_semana_variable,picos_moderados_variabilidad_media
MAC000087,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000088,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000089,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000090,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000091,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000092,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
